name,srid,active,hof,positions,start,end,letter,seasons,games,dob,dod
Kevin Abrams,AbraKe20,False,False,DB,1997,1999,A,3,32,1974-02-28,NA
Nate Abrams,AbraNa20,False,False,E,1921,1921,A,1,1,1898-12-25,1941-04-30
George Abramson,AbraGe20,False,False,G-T,1925,1925,A,1,10,1903-05-13,1985-03-15
Dick Abrell,AbreDi20,False,False,BB-WB,1920,1920,A,1,6,1892-05-18,1973-05-05
Ray Abruzzese,AbruRa20,False,False,B,1962,1966,A,5,61,1937-10-27,2011-08-22
Frank Abruzzino,AbruFr20,False,False,BB-LB-C-G-E-WB-DB,1931,1933,A,2,23,1908-01-22,1986-06-13
Dick Absher,AbshDi20,False,False,LB-K,1967,1972,A,7,58,1944-04-19,NA
Steve Ache,AcheSt20,False,False,LB,1987,1987,A,1,3,1962-03-16,NA
George Achica,AchiGe20,False,False,DT,1985,1985,A,1,4,1960-12-19,NA
Sneeze Achiu,AchiSn20,False,False,WB-TB-E-BB,1927,1928,A,2,11,1902-08-03,1989-03-21
Emmanuel Acho,AchoEm00,False,False,OLB,2012,2014,A,3,20,1990-11-10,NA
Sam Acho,AchoSa00,True,False,OLB,2011,2017,A,7,98,1988-09-06,NA
Bill Acker,AckeBi20,False,False,NT,1980,1987,A,6,55,1956-11-07,NA
Kenneth Acker,AckeKe00,True,False,CB,2014,2017,A,4,40,1992-02-06,NA
Rick Ackerman,AckeRi20,False,False,NT-DT,1982,1987,A,5,42,1959-06-16,NA
Tom Ackerman,AckeTo20,False,False,G-C,1996,2003,A,8,105,1972-09-06,NA
Ron Acks,AcksRo20,False,False,LB,1968,1976,A,9,105,1944-10-03,NA
Fred Acorn,AcorFr20,False,False,DB,1984,1984,A,1,16,1961-03-17,NA
Ed Adamchik,AdamEd20,False,False,C,1965,1965,A,2,4,1941-11-02,NA
Mike Adamle,AdamMi01,False,False,RB,1971,1976,A,6,76,1949-10-04,NA
Tony Adamle,AdamTo02,False,False,LB-FB,1947,1954,A,6,75,1924-05-15,2000-10-07
Aaron Adams,AdamAa00,False,False,T,2014,2014,A,1,0,1989-05-16,NA
Andrew Adams,AdamAn00,False,False,FS,2016,2017,A,2,30,1992-10-28,NA
Anthony Adams,AdamAn20,False,False,DT-NT,2003,2011,A,9,121,1980-06-18,NA
Bill Adams,AdamBi20,False,False,G-T,1972,1978,A,6,46,1950-02-04,NA
Blue Adams,AdamBl20,False,False,DB,2003,2007,A,4,50,1979-10-15,NA
Bob Adams,AdamBo00,False,False,TE-T,1969,1976,A,7,82,1946-08-15,NA
Brent Adams,AdamBr20,False,False,T,1975,1977,A,3,41,1952-06-26,NA
Charlie Adams,AdamCh00,False,False,WR,2003,2005,A,3,24,1979-10-23,NA
Chet Adams,AdamCh20,False,False,T-E-DT,1939,1950,A,10,117,1915-10-24,1990-10-28
Curtis Adams,AdamCu00,False,False,RB,1985,1988,A,4,27,1962-04-30,NA
D.J. Adams,AdamD.00,False,False,RB,2014,2014,A,1,0,1990-09-27,NA
Darvin Adams,AdamDa00,False,False,WR,2011,2011,A,1,2,1990-01-05,NA
Davante Adams,AdamDa01,True,False,WR,2014,2017,A,4,59,1992-12-24,NA
David Adams,AdamDa20,False,False,RB,1987,1987,A,1,3,1964-06-24,NA
Doug Adams,AdamDo20,False,False,LB,1971,1974,A,4,49,1949-11-03,1997-08-09
Earnest Adams,AdamEa20,False,False,LB,1987,1987,A,1,3,1959-03-12,NA
Flozell Adams,AdamFl00,False,False,T-G-TE,1998,2010,A,13,198,1975-05-18,NA
Gaines Adams,AdamGa99,False,False,DE,2007,2009,A,4,47,1983-06-08,2010-01-17
George Adams,AdamGe00,False,False,RB,1985,1991,A,6,76,1962-12-22,NA
Henry Adams,AdamHe20,False,False,C,1939,1939,A,1,3,1915-12-24,2005-10-28
Jamal Adams,AdamJa00,True,False,SS,2017,2017,A,1,16,1995-10-17,NA
Jamar Adams,AdamJa20,False,False,DB,2008,2010,A,3,8,1985-11-29,NA
Jeff Adams,AdamJe00,True,False,T,2012,2015,A,3,4,1989-09-06,NA
Jerell Adams,AdamJe01,True,False,TE,2016,2017,A,2,29,1992-12-31,NA
Joe Adams,AdamJo01,False,False,WR,2012,2012,A,1,9,1989-11-22,NA
John Adams,AdamJo20,False,False,T,1945,1949,A,5,55,1921-09-22,1969-08-20
John Adams,AdamJo00,False,False,E-FB,1959,1963,A,5,64,1937-11-28,1995-08-08
Johnny Adams,AdamJo02,False,False,CB,2013,2013,A,1,4,1989-06-09,NA
Julius Adams,AdamJu00,False,False,DE-DT,1971,1987,A,16,206,1948-04-26,2016-03-24
Keith Adams,AdamKe20,False,False,LB,2001,2007,A,8,85,1979-11-22,NA
Kendrick Adams,AdamKe01,False,False,DL,2012,2012,A,2,0,1988-11-03,NA
Kris Adams,AdamKr00,False,False,WR,2012,2012,A,1,3,1987-09-04,NA
Kyle Adams,AdamKy00,False,False,TE,2011,2013,A,4,29,1988-01-19,NA
Michael Adams,AdamMi20,False,False,DB,1987,1989,A,3,15,1964-04-05,NA
Michael Adams,AdamMi98,False,False,DB,2007,2013,A,7,80,1985-06-17,NA
Mike Adams,AdamMi00,False,False,WR,1997,1997,A,1,6,1974-03-25,NA
Mike Adams,AdamMi21,True,False,DB,2004,2017,A,14,206,1981-03-24,NA
Mike Adams,AdamMi02,False,False,OT,2012,2016,A,4,53,1990-03-10,NA
Montravius Adams,AdamMo00,True,False,DT,2017,2017,A,1,7,1995-07-24,NA
Neal Adams,AdamNe20,False,False,E,1942,1947,A,6,52,1919-01-21,1998-10-27
Pete Adams,AdamPe20,False,False,G,1974,1976,A,2,25,1951-05-04,NA
Phillip Adams,AdamPh00,False,False,DB,2010,2015,A,7,78,1988-07-20,NA
Rodney Adams,AdamRo01,True,False,WR,2017,2017,A,1,1,1994-09-15,NA
Sam Adams,AdamSa20,False,False,G-T,1972,1981,A,10,135,1948-09-20,2015-10-10
Sam Adams,AdamSa00,False,False,DT-DE,1994,2007,A,14,206,1973-06-13,NA
Scott Adams,AdamSc20,False,False,G-T,1992,1997,A,6,58,1966-09-28,2013-09-16
Stan Adams,AdamSt20,False,False,LB,1984,1984,A,1,4,1960-05-22,NA
Stefon Adams,AdamSt21,False,False,DB,1986,1990,A,6,65,1963-08-11,NA
Theo Adams,AdamTh20,False,False,T,1992,1993,A,2,17,1966-04-24,NA
Titus Adams,AdamTi00,False,False,DT,2009,2009,A,1,2,1983-01-28,NA
Tom Adams,AdamTo01,False,False,WR,1962,1962,A,1,6,1940-04-26,NA
Tony Adams,AdamTo00,False,False,QB,1975,1987,A,5,53,1950-03-19,NA
Tyrell Adams,AdamTy00,True,False,LB,2016,2017,A,2,12,1992-04-11,NA
Vashone Adams,AdamVa20,False,False,DB,1995,1997,A,3,29,1973-09-12,NA
Verlin Adams,AdamVe20,False,False,DE-T-G-E-LB,1943,1945,A,3,12,1918-07-14,1985-04-30
Willie Adams,AdamWi20,False,False,DE-LB,1965,1966,A,2,28,1941-12-12,NA
Willis Adams,AdamWi00,False,False,WR,1979,1985,A,7,75,1956-08-22,NA
Ken Adamson,AdamKe00,False,False,G,1960,1962,A,3,32,1938-10-12,NA
Levy Adcock,AdcoLe00,False,False,T,2012,2012,A,1,0,1988-11-12,NA
Jahleel Addae,AddaJa00,True,False,S,2013,2017,A,5,64,1990-01-24,NA
Joseph Addai,AddaJo00,False,False,RB,2006,2011,A,6,78,1983-05-03,NA
Abe Addams,AddaAb20,False,False,DE,1949,1949,A,1,5,1926-07-12,2017-12-10
Herb Adderley,AddeHe00,False,True,DB,1961,1972,A,12,164,1939-06-08,NA
Bralon Addison,AddiBr01,False,False,RB,2016,2016,A,1,2,1993-10-12,NA
Mario Addison,AddiMa00,True,False,DE,2011,2017,A,10,95,1987-09-06,NA
Tom Addison,AddiTo00,False,False,LB,1960,1967,A,8,106,1936-04-12,2011-06-14
Nick Adduci,AdduNi20,False,False,LB,1954,1955,A,2,22,1929-07-12,2005-11-04
Quincy Adeboyejo,AdebQu00,True,False,WR,2017,2017,A,1,1,1995-05-26,NA
Victor Adeyanju,AdeyVi20,False,False,DE,2006,2009,A,4,53,1983-02-11,NA
Xavier Adibi,AdibXa99,False,False,LB,2008,2012,A,5,44,1984-10-18,NA
John Adickes,AdicJo20,False,False,C,1987,1989,A,3,23,1964-06-29,NA
Mark Adickes,AdicMa20,False,False,G,1986,1991,A,6,77,1961-04-22,NA
Jude Adjei-Barimah,AdjeJu00,True,False,CB,2015,2016,A,2,23,1992-07-21,NA
Bob Adkins,AdkiBo20,False,False,BB-DE-G-LB,1940,1945,A,3,20,1917-02-17,1997-12-06
Kevin Adkins,AdkiKe20,False,False,DB,1987,1987,A,1,2,1965-08-27,NA
Margene Adkins,AdkiMa00,False,False,WR,1970,1973,A,4,35,1947-04-30,NA
Roy Adkins,AdkiRo20,False,False,G,1920,1920,A,1,4,1898-10-05,1975-02-10
Sam Adkins,AdkiSa00,False,False,QB,1977,1981,A,4,11,1955-05-21,NA
Spencer Adkins,AdkiSp99,False,False,LB,2009,2011,A,3,24,1987-05-16,NA
James Adkisson,AdkiJa00,False,False,WR,2006,2006,A,1,2,1980-01-11,NA
Daniel Adongo,AdonDa00,False,False,LB,2013,2015,A,3,5,1989-10-12,NA
Al Afalava,AfalAl99,False,False,DB,2009,2012,A,3,29,1987-01-20,NA
Erik Affholter,AffhEr00,False,False,WR,1991,1991,A,1,4,1966-04-10,NA
Dick Afflis,AfflDi20,False,False,T-DG-G,1951,1954,A,4,48,1929-06-27,1991-11-10
Ben Agajanian,AgajBe20,False,False,K,1945,1964,A,15,129,1919-08-28,NA
Alex Agase,AgasAl20,False,False,LB-G,1947,1953,A,7,70,1922-03-27,2007-05-03
Louis Age,AgexLo20,False,False,T,1992,1992,A,1,6,1970-02-01,NA
Mel Agee,AgeeMe20,False,False,DE-DT,1991,1995,A,5,54,1968-11-22,2008-06-15
Sam Agee,AgeeSa20,False,False,FB,1938,1939,A,2,21,1915-10-21,2006-11-02
Tommie Agee,AgeeTo00,False,False,RB,1988,1994,A,7,100,1964-02-22,NA
Nelson Agholor,AghoNe00,True,False,WR,2015,2017,A,3,44,1993-05-24,NA
Bob Agler,AgleBo20,False,False,HB-DB-FB-LB,1948,1949,A,2,16,1924-03-13,2005-09-16
Jamal Agnew,AgneJa00,True,False,CB,2017,2017,A,1,13,1995-04-03,NA
Ray Agnew,AgneRa20,False,False,DT-DE,1990,2000,A,11,157,1967-12-09,NA
Ray Agnew,AgneRa00,False,False,FB,2014,2014,A,1,12,1991-02-26,NA
Vince Agnew,AgneVi00,False,False,CB,2012,2012,A,1,4,1987-12-28,NA
Roberto Aguayo,AguaRo00,True,False,K,2016,2016,A,1,16,1994-05-17,NA
Louie Aguiar,aguialou01,False,False,P,1991,2000,A,10,152,1966-06-30,NA
Joe Aguirre,AguiJo20,False,False,E,1941,1949,A,8,83,1918-10-17,1985-07-13
C.J. Ah You,AhYoC.00,False,False,DE,2009,2011,A,3,33,1982-07-07,NA
Chidi Ahanotu,AhanCh20,False,False,DE-DT,1993,2004,A,13,174,1970-10-11,NA
Dan Ahern,AherDa20,False,False,T,1921,1921,A,1,3,1898-02-15,1963-08-31
Dave Ahrens,AhreDa20,False,False,LB,1981,1990,A,10,130,1958-12-05,NA
Tony Aiello,AielTo20,False,False,WB-BB,1944,1944,A,2,5,1921-04-28,2012-02-24
Danny Aiken,AikeDa00,False,False,LS,2011,2015,A,5,66,1988-08-28,NA
Kamar Aiken,AikeKa00,True,False,WR,2011,2017,A,6,66,1989-05-30,NA
Sam Aiken,AikeSa00,False,False,WR,2003,2010,A,8,95,1980-12-14,NA
Carl Aikens,AikeCa20,False,False,WR,1987,1987,A,1,3,1962-06-05,NA
Walt Aikens,AikeWa00,True,False,CB,2014,2017,A,4,62,1991-06-19,NA
Troy Aikman,AikmTr00,False,True,QB,1989,2000,A,12,165,1966-11-21,NA
Jim Ailinger,AiliJi20,False,False,G,1924,1924,A,1,8,1901-07-10,2001-03-27
Charles Aiu,AiuxCh20,False,False,G,1976,1978,A,4,33,1954-05-22,2001-12-28
Victor Aiyewa,AiyeVi00,False,False,LB,2013,2013,A,1,5,1987-02-04,NA
Jay Ajayi,AjayJa00,True,False,RB,2015,2017,A,4,38,1993-06-15,NA
Seyi Ajirotutu,AjirSe00,False,False,WR,2010,2015,A,6,70,1987-06-12,NA
Hakim Akbar,AkbaHa20,False,False,LB,2001,2002,A,2,10,1980-08-11,NA
David Akers,akersdav01,False,False,K,1998,2013,A,16,237,1974-12-09,NA
Harold Akin,AkinHa20,False,False,T,1967,1968,A,2,13,1945-01-11,NA
Len Akin,AkinLe20,False,False,G-LB,1942,1942,A,1,11,1916-04-08,1987-03-05
Al Akins,AkinAl20,False,False,HB-DB,1946,1948,A,4,25,1921-06-13,1995-08-29
Chris Akins,AkinCh20,False,False,DB,1999,2003,A,7,61,1976-11-29,NA
Frank Akins,AkinFr00,False,False,FB,1943,1946,A,4,28,1919-03-31,1992-07-06
Mike Akiu,AkiuMi20,False,False,WR,1985,1986,A,2,20,1962-02-12,NA
Anthony Alabi,AlabAn20,False,False,T,2006,2007,A,2,16,1981-02-16,NA
Ikaika Alama-Francis,AlamIk99,False,False,DE,2007,2011,A,4,35,1984-12-04,NA
Dick Alban,AlbaDi00,False,False,DB,1952,1959,A,8,96,1929-01-17,2016-03-18
Dom Albanese,AlbaDo20,False,False,BB-E-FB,1925,1925,A,1,3,1903-09-09,1992-03-17
Vannie Albanese,AlbaVa20,False,False,FB-DB-BB-LB,1937,1938,A,2,18,1912-12-02,1984-09-02
Tom Alberghini,AlbeTo20,False,False,G,1945,1945,A,1,1,1919-10-27,2013-11-26
Branden Albert,AlbeBr20,False,False,G,2008,2016,A,9,120,1984-11-04,NA
Frankie Albert,AlbeFr00,False,False,QB-DB,1946,1952,A,7,90,1920-01-27,2002-09-04
Sergio Albert,AlbeSe20,False,False,K,1974,1974,A,1,12,1951-10-28,NA
Trev Alberts,AlbeTr20,False,False,LB,1994,1996,A,3,29,1970-08-08,NA
Art Albrecht,AlbrAr20,False,False,T-C-LB,1942,1944,A,3,14,1921-12-29,2004-02-01
Ted Albrecht,AlbrTe20,False,False,T-G,1977,1981,A,5,77,1954-10-08,NA
Alex Albright,AlbrAl00,False,False,LB,2011,2012,A,2,30,1988-01-29,NA
Bill Albright,AlbrBi20,False,False,G-T-DT,1951,1954,A,4,47,1929-04-04,2013-01-17
Bryson Albright,AlbrBr00,True,False,LB,2016,2017,A,2,8,1994-03-15,NA
Ethan Albright,AlbrEt20,False,False,G-C-T,1995,2010,A,16,236,1971-05-01,NA
Ira Albright,AlbrIr20,False,False,NT-RB,1987,1987,A,1,3,1959-01-02,NA
Vince Albritton,AlbrVi20,False,False,DB,1984,1991,A,8,86,1962-07-23,NA
Zac Alcorn,AlcoZa20,False,False,TE,2006,2006,A,1,6,1980-08-24,NA
Grady Alderman,AldeGr00,False,False,T-G,1960,1974,A,15,204,1938-12-10,2018-04-05
John Alderton,AldeJo20,False,False,DE,1953,1953,A,1,10,1931-09-05,2013-05-08
Ki Aldrich,AldrKi20,False,False,C-LB-G,1939,1947,A,7,73,1916-06-01,1983-03-12
Allen Aldridge,AldrAl20,False,False,DE,1971,1974,A,3,35,1945-04-27,2015-09-30
Allen Aldridge,AldrAl21,False,False,LB,1994,2001,A,8,128,1972-05-30,NA
Bennie Aldridge,AldrBe00,False,False,DB-HB,1950,1953,A,5,43,1926-10-24,1956-05-14
Jerry Aldridge,AldrJe20,False,False,RB,1980,1980,A,1,1,1956-09-01,NA
Kevin Aldridge,AldrKe20,False,False,DE,2002,2002,A,1,6,1980-03-03,NA
Lionel Aldridge,AldrLi20,False,False,DE,1963,1973,A,11,147,1941-02-14,1998-02-12
Melvin Aldridge,AldrMe20,False,False,DB,1993,1995,A,2,3,1970-07-22,NA
Arnold Ale,AlexAr20,False,False,LB,1994,1996,A,2,9,1970-06-17,NA
Ink Aleaga,AleaIn20,False,False,LB,1997,1999,A,3,26,1973-04-27,NA
Chas Alecxih,AlecCh00,False,False,DT,2012,2014,A,2,0,1989-02-10,NA
Keith Alex,AlexKe20,False,False,G,1993,1993,A,1,14,1969-06-09,NA
Steve Alexakos,AlexSt20,False,False,G,1970,1971,A,2,18,1946-12-15,NA
Alvester Alexander,AlexAl00,False,False,RB,2012,2012,A,2,0,1990-10-17,NA
Brent Alexander,AlexBr20,False,False,DB,1994,2005,A,12,192,1971-07-10,NA
Bruce Alexander,AlexBr21,False,False,DB,1989,1993,A,5,44,1965-09-17,NA
Charles Alexander,AlexCh00,False,False,RB,1979,1985,A,7,102,1957-07-28,NA
D.J. Alexander,AlexD.00,True,False,OLB,2015,2017,A,3,44,1991-09-30,NA
Dan Alexander,AlexDa20,False,False,G-T,1977,1989,A,13,192,1955-06-17,NA
Dan Alexander,AlexDa21,False,False,RB,2001,2003,A,3,11,1978-03-17,NA
Danario Alexander,AlexDa00,False,False,WR,2010,2012,A,3,28,1986-08-07,NA
David Alexander,AlexDa22,False,False,C-G-T,1987,1996,A,9,131,1964-07-28,NA
Derrick Alexander,AlexDe00,False,False,WR,1994,2002,A,9,126,1971-11-06,NA
Derrick Alexander,AlexDe20,False,False,DE,1995,1999,A,5,73,1973-11-13,NA
Doc Alexander,AlexDo20,False,False,C-G-T-E,1921,1927,A,6,40,1897-04-01,1975-09-12
Dominique Alexander,AlexDo01,True,False,LB,2016,2017,A,2,18,1995-04-20,NA
Elijah Alexander,AlexEl20,False,False,LB,1992,2001,A,9,123,1970-08-02,2010-03-24
Eric Alexander,AlexEr20,False,False,LB,2004,2010,A,8,54,1982-02-08,NA
Frank Alexander,AlexFr00,False,False,DE,2012,2014,A,3,29,1989-12-17,NA
Gerald Alexander,AlexGe99,False,False,DB,2007,2011,A,7,44,1984-06-28,NA
Glenn Alexander,AlexGl00,False,False,WR,1970,1970,A,1,13,1947-06-03,NA
Harold Alexander,AlexHa20,False,False,P,1993,1994,A,2,31,1970-10-20,NA
Jeff Alexander,AlexJe00,False,False,RB,1989,1992,A,2,21,1965-01-15,NA
John Alexander,AlexJo20,False,False,T,1922,1926,A,2,17,1896-07-04,1986-08-05
John Alexander,AlexJo21,False,False,DE,1977,1978,A,2,12,1955-11-12,NA
Kermit Alexander,AlexKe01,False,False,DB,1963,1973,A,11,143,1941-01-04,NA
Kevin Alexander,AlexKe00,False,False,WR,1996,1997,A,2,18,1975-01-23,NA
Kevin Alexander,AlexKe02,False,False,LB-DE,2010,2010,A,1,8,1987-07-01,NA
Kwon Alexander,AlexKw00,True,False,OLB,2015,2017,A,3,40,1994-08-03,NA
Lorenzo Alexander,AlexLo99,True,False,LB,2007,2017,A,11,159,1983-05-31,NA
Mackensie Alexander,AlexMa01,True,False,CB,2016,2017,A,2,27,1993-11-12,NA
Maurice Alexander,AlexMa00,True,False,SS,2014,2017,A,4,41,1991-02-16,NA
Mike Alexander,AlexMi00,False,False,WR,1989,1991,A,2,19,1965-03-19,NA
Mister Alexander,AlexMi01,False,False,LB,2011,2014,A,4,14,1988-06-02,NA
P.J. Alexander,AlexP.20,False,False,G,2004,2007,A,3,20,1978-12-23,NA
Patrise Alexander,AlexPa20,False,False,LB,1996,1998,A,3,33,1972-10-23,NA
Ray Alexander,AlexRa00,False,False,WR,1984,1989,A,3,26,1962-01-08,NA
Robert Alexander,AlexRo20,False,False,RB,1982,1983,A,2,24,1958-04-21,NA
Roc Alexander,AlexRo21,False,False,DB,2004,2006,A,3,27,1981-09-23,NA
Rogers Alexander,AlexRo22,False,False,LB,1986,1987,A,2,4,1964-08-11,NA
Rufus Alexander,AlexRu20,False,False,LB,2008,2008,A,1,1,1983-04-12,NA
Shaun Alexander,AlexSh00,False,False,RB,2000,2008,A,9,123,1977-08-30,NA
Stephen Alexander,AlexSt00,False,False,TE,1998,2006,A,9,118,1975-11-07,NA
Vadal Alexander,AlexVa00,True,False,OG,2016,2017,A,2,24,1994-03-23,NA
Vincent Alexander,AlexVi20,False,False,RB,1987,1987,A,1,1,1964-03-11,NA
Willie Alexander,AlexWi20,False,False,DB,1971,1979,A,9,122,1949-09-21,NA
Alton Alexis,AlexAl20,False,False,WR,1980,1980,A,1,1,1957-11-16,NA
Rich Alexis,AlexRi00,False,False,RB,2005,2007,A,3,4,1981-03-06,NA
Ted Alflen,AlflTe20,False,False,RB,1969,1969,A,1,4,1947-01-03,NA
Julie Alfonse,AlfoJu20,False,False,WB-TB-DB,1937,1938,A,2,20,1911-10-12,2000-05-21
Brian Alford,AlfoBr00,False,False,WR,1998,1999,A,2,4,1975-06-07,NA
Bruce Alford,AlfoBr01,False,False,E-DB,1946,1951,A,6,75,1921-09-12,2010-05-08
Bruce Alford,AlfoBr20,False,False,K,1967,1969,A,3,27,1945-04-21,NA
Darnell Alford,AlfoDa20,False,False,G,2000,2001,A,2,3,1977-06-11,NA
Dominic Alford,AlfoDo00,False,False,OL,2012,2012,A,1,0,1988-02-22,NA
Gene Alford,AlfoGe20,False,False,WB-DB-BB-FB,1931,1934,A,5,38,1905-04-03,1975-12-08
Jay Alford,AlfoJa99,False,False,DT,2007,2010,A,3,36,1983-05-28,NA
Lynwood Alford,AlfoLy20,False,False,LB,1987,1987,A,1,1,1963-08-22,NA
Mario Alford,AlfoMa00,True,False,WR,2015,2016,A,2,4,1992-02-25,NA
Mike Alford,AlfoMi20,False,False,C,1965,1966,A,2,25,1943-06-19,NA
Robert Alford,AlfoRo00,True,False,CB,2013,2017,A,5,73,1988-11-01,NA
Warren Alfson,AlfsWa20,False,False,G-LB,1941,1941,A,1,11,1915-05-10,2001-06-04
Charles Ali,AlixCh00,False,False,RB,2007,2008,A,2,28,1984-08-23,NA
Tuineau Alipate,AlipTu20,False,False,LB,1994,1995,A,2,24,1967-08-21,NA
Don Allard,AllaDo20,False,False,QB,1961,1962,A,2,5,1936-04-21,2002-05-04
Raul Allegre,allegrau01,False,False,K,1983,1991,A,10,92,1959-06-15,NA
Andy Alleman,AlleAn20,False,False,G,2008,2009,A,2,24,1983-11-20,NA
Anthony Allen,AlleAn00,False,False,WR,1985,1989,A,5,45,1959-06-29,NA
Anthony Allen,AlleAn01,False,False,RB,2011,2012,A,2,21,1988-08-06,NA
Antonio Allen,AlleAn02,False,False,SS,2012,2016,A,4,50,1988-09-23,NA
Armando Allen,AlleAr00,False,False,RB,2011,2012,A,2,17,1989-04-30,NA
Asher Allen,AlleAs99,False,False,DB,2009,2011,A,3,36,1988-01-22,NA
Beau Allen,AlleBe00,True,False,DT,2014,2017,A,4,63,1991-11-14,NA
Brian Allen,AlleBr21,False,False,LB,2001,2004,A,4,47,1978-04-01,NA
Brian Allen,AlleBr20,False,False,RB,2003,2003,A,1,4,1980-04-20,NA
Brian Allen,AlleBr01,True,False,CB,2017,2017,A,1,10,1993-10-21,NA
Buddy Allen,AlleBu00,False,False,HB,1961,1961,A,1,1,1937-07-11,NA
Carl Allen,AlleCa20,False,False,RB-DB,1948,1948,A,1,13,1920-06-25,2008-11-07
Carl Allen,AlleCa21,False,False,DB,1977,1982,A,6,79,1955-12-21,NA
Chase Allen,AlleCh02,True,False,LB,2017,2017,A,1,16,1993-08-29,NA
Chuck Allen,AlleCh00,False,False,LB,1961,1972,A,12,144,1939-09-07,2016-12-15
Cortez Allen,AlleCo00,False,False,DB,2011,2015,A,5,56,1988-10-29,NA
Dalva Allen,AlleDa20,False,False,DE,1960,1964,A,5,70,1935-01-13,2016-11-28
David Allen,AlleDa00,False,False,RB,2003,2005,A,3,23,1978-02-09,NA
Denicos Allen,AlleDe00,False,False,OLB,2014,2014,A,2,0,1990-08-09,NA
Derek Allen,AlleDe20,False,False,G,1995,1995,A,1,1,1971-01-30,NA
Don Allen,AlleDo01,False,False,FB,1960,1960,A,1,10,1939-08-20,NA
Doug Allen,AlleDo20,False,False,LB,1974,1975,A,2,28,1951-11-13,NA
Duane Allen,AlleDu00,False,False,TE,1961,1967,A,7,49,1937-10-21,2003-05-07
Dwayne Allen,AlleDw00,True,False,TE,2012,2017,A,6,73,1990-02-24,NA
Earl Allen,AlleEa20,False,False,DB,1987,1987,A,1,1,1961-10-24,NA
Ed Allen,AlleEd20,False,False,E,1928,1928,A,1,2,1901-06-05,1979-08-01
Eddie Allen,AlleEd21,False,False,FB-LB,1947,1947,A,1,9,1918-05-05,2012-03-01
Egypt Allen,AlleEg20,False,False,DB,1987,1987,A,1,6,1964-07-28,NA
Eric Allen,AlleEr00,False,False,DB,1988,2001,A,14,217,1965-11-22,NA
Ermal Allen,AlleEr20,False,False,QB-DB,1947,1947,A,1,12,1918-12-25,1988-02-09
Gary Allen,AlleGa20,False,False,RB,1982,1984,A,4,30,1960-04-23,NA
George Allen,AlleGe20,False,False,T,1966,1966,A,1,9,1944-04-04,NA
Gerry Allen,AlleJe00,False,False,RB,1966,1969,A,4,28,1941-06-26,NA
Grady Allen,AlleGr20,False,False,LB,1968,1972,A,5,59,1946-01-01,2012-12-04
Greg Allen,AlleGr21,False,False,RB,1985,1986,A,2,9,1963-06-04,NA
