srid,dob,dod
TofiJo20,1918-03-15,1973-05-00
WebbJe00,1982-01-31,
BavaDa20,1967-03-27,
BurtRo00,1936-07-25,2003-09-13
DeOsSt20,1962-11-22,
kaurijer01,1963-06-28,
JohnOs20,1901-05-05,1989-10-04
BrayRa00,1917-02-01,1993-12-26
HiltCa00,1964-02-28,
JackLa98,1985-08-30,
McIlDo00,1934-11-22,
DudeMi20,1943-11-09,
PeacJo20,1947-03-02,
MiddDo01,1993-09-25,
StidHo20,1954-12-17,
SweaDJ00,1991-09-01,
PricEj00,1993-01-30,
ElweJa00,1940-08-01,
JordDa20,1964-12-04,
BryaBo01,1944-01-24,
NorrMo00,1978-06-16,
DomiMa00,1978-06-27,
MendJo20,1948-12-03,
HeenPa20,1938-03-01,
HardRo22,1967-09-01,
MerrJi20,1961-03-22,
AtchJa00,1936-11-16,
ApplEl00,1995-08-09,
MadsJo00,1983-05-09,
BrodJ.00,1936-03-06,2006-01-06
ArmbTh00,1992-12-25,
JuszKy00,1991-04-23,
PoweWi00,1988-03-09,
WillRa21,1965-11-09,
JohnBy20,1962-10-21,
WardJi00,1944-07-16,
RuppNe20,1891-06-15,1948-08-09
ElkiMi00,1966-07-20,
TaylSa00,1940-04-23,
YounCh20,1980-01-23,
GranRe20,1903-06-13,1991-01-28
GompBi20,1928-03-20,
TullWa00,1953-04-12,
CollSo00,1953-01-17,
BellKe21,1955-03-14,
DugaRo00,1977-04-27,
SmitRo00,1972-03-04,
JohnCa00,1985-09-29,
GranNo20,1961-09-14,
BoweBi20,1928-10-31,1998-04-02
FranTr20,1960-03-26,
FlahJi20,1897-03-08,1970-12-04
DrozDa20,1969-04-07,
WhitPa00,1948-09-17,2001-06-23
JoneAd20,1981-06-10,
BrinCh20,1949-05-26,
SmitCo20,1979-10-02,2009-03-01
BessDa00,1985-09-13,
TaysJi20,1899-03-10,1986-06-21
MacMJi20,1909-09-02,1981-08-10
RussAn01,1987-05-30,
KotaEd20,1902-09-01,1973-01-27
StreTo00,1989-10-07,
DuffBi20,1974-02-24,
daneljoe01,1953-09-02,
BenaMa00,1985-07-26,
PridDa20,1942-06-07,
BellJo00,1938-03-13,
GainRo01,1989-10-28,
GodfCh20,1958-05-17,
PerrBr02,1993-09-10,
AnthTy00,1962-03-03,
WhitLe01,1984-12-20,
McKaBo20,1947-12-27,
PlumMi00,1935-01-20,
HansHa21,1895-11-18,1973-10-10
EvanDe20,1979-09-03,
HertFr20,1902-11-06,1963-07-20
HodgNo20,1952-03-01,
TaylCo01,1990-04-04,
GrahDa21,1959-04-06,
VerdJi20,1981-11-04,
DeanFl20,1940-08-19,2003-07-15
JoneMi23,1969-08-25,
StewKo00,1972-10-16,
BurgRo20,1963-03-07,
KaskTo20,1911-07-01,1994-08-09
DuggEd20,1891-05-19,1950-10-16
CarlCo20,1977-08-11,
MoslAn20,1965-06-17,
RobiGl20,1951-10-20,
WeslDa20,1979-04-05,
ClayAd00,1988-07-06,
DarbPa20,1956-10-22,
JoneJa03,1984-07-11,
HenrSt20,1957-03-05,
GrymAa00,1991-03-01,
GarnBo20,1923-08-16,1972-12-09
PeetRo00,1966-03-16,
LagoCh20,1928-01-08,2013-10-25
NunnFr20,1962-04-09,
ONeaJi20,1924-02-13,1959-10-13
RossOl00,1949-09-18,
SpirJo20,1914-11-04,1966-04-00
BrowMi00,1989-02-09,
JennLi20,1977-11-03,
LarsKu20,1966-02-25,
DoncTo20,1952-03-10,
GrimCo99,1987-02-26,
HaslJi20,1955-12-09,
SmitJe23,1962-05-04,
GoriWa20,1919-12-20,1977-07-03
StruAr20,1912-12-04,1993-01-02
PattDi20,1983-06-18,
HowaCo20,1987-07-02,
AzumJe00,1977-09-01,
FontHe00,1963-09-12,
FuglDi20,1931-07-19,2003-01-22
WhitJe00,1934-05-09,2012-05-22
MoyePa20,1961-07-26,
PagaFr00,1952-04-26,
GregBe00,1946-10-31,1997-04-10
BossKe00,1984-01-11,
RamsRa20,1921-07-18,2009-08-25
CahoTi20,1900-05-22,1973-02-03
YounRo00,1957-12-01,
CrimBe20,1919-04-14,1993-03-19
ODonJo00,1941-08-31,
MarsAl20,1981-01-17,
CuppKe20,1964-06-20,
KvisJo20,1899-02-06,
ThomJ.00,1971-12-15,
HarbCl00,1987-07-02,
AdkiSp99,1987-05-16,
GarrWa00,1944-07-23,
AuerJo00,1941-10-11,
SmitCh03,1992-02-11,
QuirEd20,1925-02-27,1962-06-13
BrowKa99,1983-01-30,
SmalFr21,1963-01-07,
AldrLi20,1941-02-14,1998-02-12
MaczJo20,1941-04-04,2013-12-27
LewiHa21,1944-08-01,
WeisHo20,1917-10-12,1997-11-23
KissVi20,1927-06-13,1997-03-19
BonnMe20,1970-02-18,
DuMoBi20,1898-03-14,1983-05-06
CastEr20,1970-03-15,
MitcSh00,1972-03-28,
JohnDa06,1991-02-22,
CollTo00,1971-11-05,
FullEd21,1931-04-07,2015-05-28
HarrCh00,1944-09-21,
KlemAd20,1977-05-21,
WojcJo20,1963-07-30,
BowdJo20,1970-02-25,
ONeaDe00,1977-01-30,
WaltAn00,1982-05-11,
WillKa00,1971-04-10,
KlumJo20,1916-01-22,1998-07-23
KistDa00,1991-03-30,
GoleAr20,1900-05-25,1976-03-09
HillAn00,1985-01-02,
CothPa20,1935-07-12,2016-09-01
GillDo00,1977-02-09,
HarrDi21,1916-04-13,1981-05-30
NickHa01,1988-01-14,
SmitSt01,1979-05-12,
LetlRu20,1913-10-05,1987-10-12
SmitAa99,1976-04-09,
ChamCo20,1977-05-29,
AvanJa00,1983-04-20,
JohnAl20,1922-08-15,2011-05-05
WillTy22,1970-03-26,
SmitAl01,1964-11-26,
GainJi00,1993-05-11,
WillRo25,1897-10-11,1968-04-05
LewiWo00,1925-06-14,2000-12-29
GallWa00,1994-10-01,
AlleDu00,1937-10-21,2003-05-07
MaddMa20,1968-03-23,
TullGe20,1904-03-12,1980-05-01
HausEa20,,1960-01-06
CostBl20,1984-04-14,
WhitDe00,1979-08-23,
MackJo00,1941-09-24,2011-07-06
LongBo20,1922-04-09,1961-08-02
BarfKe20,1929-07-19,2000-09-24
IverDu20,1920-02-26,2011-05-20
SimoCo00,1977-03-02,
BarlCo20,1970-11-01,
BausJi20,1906-03-29,1974-07-09
SiegJo20,1918-05-15,2015-05-25
GrotBo20,1937-03-22,
TripJo20,1919-09-17,1997-07-06
TobiMa00,1990-06-05,
KnigBr20,1979-01-22,
SchlWa20,1922-05-02,1994-10-05
FaaoNu00,1964-01-15,
BragSt20,1965-08-29,
TimbGe20,1932-11-03,2012-11-07
MoorBr21,1970-06-21,
CurrAi00,1982-11-16,
IngaBo20,1919-01-17,1970-04-08
McGuMo20,1964-05-07,
BoltAn00,1954-05-23,
JohnBr22,1962-11-26,
KittGe00,1993-10-09,
BankRo20,1963-12-10,
MoraGo20,1922-06-10,2002-04-02
BahaCu20,1963-03-02,
CoviDa20,1972-12-04,2002-11-29
CulvTy20,1983-07-06,
SootVi00,1987-01-01,
WynnDe00,1983-10-09,
MackSt00,1975-06-26,
WediSc00,1988-11-20,
MortCr00,1943-02-05,
ElliKe01,1987-12-10,
JustKe20,1955-05-03,
ElliTo21,1964-01-10,
McCaJo22,1983-08-19,
ElshNe20,1958-03-08,
GambKe00,1965-03-08,
MillJo26,1897-09-03,1967-05-31
OherMi20,1986-05-28,
PottZa99,1986-05-04,
IssaRo00,1989-02-20,
DomrMa00,1947-04-17,
ThomDo22,1902-12-21,1968-11-09
DeexDo20,1965-03-17,
MartKa00,1992-02-19,
FrazCh00,1939-08-12,
SmitSe20,1965-03-27,
HallDa01,1995-06-14,
HawkWa00,1938-06-17,
HopkTe20,1902-05-11,1955-03-14
OrrxRa20,1980-11-08,
BritGe00,1925-10-23,1965-06-08
MiklBi20,1919-04-03,2005-03-10
HaydDJ00,1990-06-27,
OlivGr00,1949-01-15,2012-01-06
GrayDa21,1955-03-28,
SchaMa00,1981-06-25,
NapoBo00,1947-03-09,
RuckFr99,1983-09-14,
AlleWi21,1982-06-17,
LeBlMi20,1962-05-05,
LoftCu99,1986-06-02,
McCaKe20,1979-03-06,
GashTh20,1965-09-01,
DaniTr20,1982-09-08,
LegeTy20,1970-02-15,
ThomGa20,1963-11-26,
NkweMa20,1978-05-11,
RichJe00,1936-07-11,
RossDe00,1983-12-29,
EvanRa20,1922-09-08,1999-04-24
WillKe98,1980-08-16,
VartMi20,1952-02-10,
PetrLe20,1893-01-04,1970-11-01
KissEd20,1929-09-29,
SilvNi20,1973-10-02,
SmitRa22,1928-11-27,2005-08-16
McKiSc99,1986-03-04,
OrteRa20,1953-07-06,
RileBu20,1947-03-13,
PathJe00,1975-12-16,
WoodEr20,1986-03-18,
WinsKe01,1983-07-21,
WilsAl02,1992-07-12,
BonaJa20,1892-12-02,1965-10-13
QuinRo00,1990-05-18,
CollRy00,1975-11-01,
ThomEm00,1943-06-03,
WhitFr00,1943-12-17,
GlovCl20,1960-07-16,
ValeJo20,1969-02-11,
KinnJe00,1949-11-01,
LewiKe96,1986-05-17,
HenkBr20,1966-04-10,
HillBi20,1959-04-21,
CarrTr00,1990-07-28,
EdmuTr00,1994-12-30,
WestCh20,1946-08-31,
McAlEd20,1953-09-21,
JettJa00,1970-12-28,
BukaJo20,1915-10-31,2007-02-09
VincTe20,1956-08-10,
NewmEd00,1951-06-04,
BrowEr21,1975-03-20,
JenkAl20,1946-07-15,
DowdJe20,1916-11-29,1995-09-23
PryoMy99,1986-06-13,
TrevDa00,1990-03-24,
MitcRo20,1964-03-15,
StepTo20,1907-01-15,2000-01-05
SwinRa20,1974-11-27,
HobbHo20,1923-02-13,1997-01-05
BoydJo00,1989-08-03,
AndrJo21,1975-08-23,
RublTJ00,1968-11-29,
JensRy00,1991-05-27,
BatiSt20,1917-03-04,1990-01-29
WhitCo01,1990-05-09,
JohnLe02,1944-10-01,
HoltHa00,1957-12-29,
TaylIk20,1980-05-05,
SageKe20,1963-10-15,
CarmEd20,1894-01-21,1964-04-09
RoyaMa20,1965-06-22,
HartBr01,1987-08-17,
NoblBr20,1974-04-10,
CollNa20,1987-12-14,
FuquRa20,1912-03-21,1983-10-26
MossRa00,1977-02-13,
FishTo00,1979-10-12,
BarnHa20,1967-01-02,
AskeMi20,1951-01-07,
NorvJa20,1963-03-28,
FuamCh00,1977-03-04,
MuelJa00,1964-10-04,
TaylHi99,1986-07-18,
ElliWi00,1945-11-01,
HarrKe20,1894-06-26,1959-09-00
EvanJu00,1995-08-26,
MiddWi20,1979-02-12,
GibbDo20,1945-12-31,2006-02-21
CampSo00,1948-03-05,
BrowDa23,1956-08-18,
HuntIv00,1966-11-16,
McKiAl20,1978-06-09,
BersMa20,1929-12-28,2011-07-12
CarlJo00,1984-05-12,
RaffTo20,1954-08-02,
MoorDr99,1985-06-09,
ElliKe00,1947-09-27,
PetrGe20,1926-03-22,2010-03-31
JessEr20,1905-05-01,1987-09-23
WisnSt01,1989-03-22,
BrooRo00,1970-06-23,
SmitDa01,1947-12-09,
WillJo30,1976-08-09,
WoodMa20,1902-07-18,1993-09-19
TaylJo21,1961-06-21,
BradCr20,1957-08-14,
HerrTo20,1982-10-13,
MealRo00,1977-02-24,
MizeWa20,1908-03-22,1962-10-02
FitzGr20,1963-07-03,
ScheNa20,1918-01-27,2009-02-10
LyonJo20,1911-09-10,1981-11-26
GonzJo21,1979-09-07,
SzczJo20,1942-08-25,
TantJa00,1977-12-04,
WoodMa21,1970-02-21,
GardGi20,1982-05-09,
ScotPr20,1917-06-30,1993-04-13
WilsCe00,1978-12-17,
TeeuLe20,1927-04-19,2006-07-14
HolmKh00,1990-01-19,
WitcAl00,1936-09-28,
ClarDu20,1906-10-11,1978-08-05
AndrAl20,1945-07-10,
MullCa20,1914-09-16,1995-01-23
RiorMi20,1906-09-04,1989-02-14
DuprL.00,1932-09-10,2001-08-09
AnthTe20,1965-01-17,
WillWi00,1942-12-29,
PresLu20,1956-09-17,
CaraAl00,1927-04-26,
MartTo00,1965-09-05,
WallDu20,1900-04-18,1977-02-00
OrrxLe00,1992-02-11,
MarcEd20,1945-07-10,
StewJa00,1971-12-27,
StalDo00,1980-11-10,
McDoKe00,1963-11-07,
PipkJo20,1924-01-09,2017-04-11
RobiEd00,1992-02-23,
LaGrMo00,1953-02-09,
ParkCh20,1941-06-19,
WetzBu20,1910-11-07,1985-10-15
CampRe20,1961-02-28,
WateMi20,1962-03-15,
RothMa20,1982-10-14,
GageBo20,1927-12-15,2005-04-19
HarrRi21,1948-01-21,2011-07-26
AdamSc20,1966-09-28,2013-09-16
WenzRa21,1943-03-13,2012-06-18
SlouEl20,1903-07-19,1935-03-16
BakeMy20,1971-01-06,
LewiTi21,1906-10-18,1955-01-16
SwinWa20,1943-05-03,
McMaSh99,1987-12-19,
MarsCu00,1970-11-24,
BrowCl21,1944-04-08,
BohmRo20,1964-09-03,
KoehMa00,1992-08-29,
DoziCo20,1964-02-05,
McGiMi20,1946-11-21,
MackRo20,1894-02-02,1942-02-12
LassNi20,1898-07-11,1964-09-04
BednAl20,1898-07-09,1988-07-12
CardHa20,1903-01-05,
DaniLe00,1995-06-04,
ClarKe22,1978-05-14,
CoveJi00,1960-03-22,
CarrEd21,1944-09-01,1986-08-15
HerrGe00,1933-06-18,1994-11-08
DubeEl00,1933-02-16,
OlseNo20,1914-12-01,
WhitMa01,1987-11-25,
ThomCh22,1969-01-15,
FergJa21,1974-11-28,
HynePa20,1939-09-09,2013-08-22
TupoTa01,1992-12-13,
PetiRo20,1982-05-21,
BovePe20,1906-09-21,1974-06-11
TaylTa20,1895-01-10,1971-05-01
BedsHa00,1941-12-21,2017-12-22
AdamBo00,1946-08-15,
BrocRa20,1978-06-10,
JenkJo20,1975-05-11,
SincMi00,1968-01-31,
TomaLo20,1916-01-08,2004-03-23
DaveNa00,1979-02-08,
OBriGa20,1911-11-14,1978-07-07
DickDa20,1952-08-24,
MitcEa99,1987-09-25,
JoneCa00,1970-11-27,
NaguBr00,1908-11-03,1990-01-07
MildJa20,1949-10-16,2008-05-22
HixxBi20,1929-01-18,1974-09-24
CahiDe20,,
HectWi20,1939-12-23,
RubiAn21,1975-04-12,
NeasSh00,1991-10-14,
GersCa20,1947-01-08,
WareDe99,1982-07-31,
TuckMa20,1968-04-29,
HillSt00,1991-04-25,
KentJo20,1984-07-24,
PiroHa20,1917-12-20,2011-04-18
PettPh20,1961-04-17,
DaviHe22,1910-03-31,1993-02-21
LainAa00,1971-07-19,
TrufIs00,1982-12-09,
JerrJo20,1986-06-14,
RankLo00,1985-05-04,
KubiGa00,1961-08-15,
JaquJo20,1948-09-10,
RomaNi20,1947-09-23,2003-05-18
BalaFr20,1918-01-23,1962-07-07
UzomC.00,1993-01-14,
JoneTy20,1961-08-03,2008-06-10
RobiGi20,1910-04-18,1985-07-11
MacPWa20,1899-12-23,1980-01-20
McFaKa00,1938-04-10,
BritKe00,1988-09-19,
MillNa20,1971-10-08,
ColeDr20,1983-04-22,
LewaTa00,1991-07-21,
EverGe00,1994-06-25,
BectNi00,1990-02-11,
SnydLo20,1963-11-28,
PeebDa00,1966-04-30,
BoosDo20,1974-01-29,2016-11-22
MitcSt01,1944-08-17,2012-01-24
JohnPa01,1958-11-14,
CartDa00,1969-11-28,
BlumHe20,1900-03-07,1987-04-13
FranAr20,1963-12-16,
BotcRo20,1935-02-15,
VanzFr20,1916-01-08,1976-02-07
HousCh99,1984-10-18,
NussDo00,1970-12-11,
ParqJe20,1982-04-11,
MauiRe00,1984-07-06,
PlumJa00,1974-12-19,
GessCh00,1981-08-17,
SwaiJo20,1959-09-04,
YounCh03,,
SmitJe00,1962-03-22,
PeteOt00,1994-02-27,
SteiGi20,1919-05-03,1995-05-10
ParrDa00,1992-03-07,
AdamD.00,1990-09-27,
StorJa20,1900-11-11,1927-01-16
MorlSt20,1981-08-18,
HarkLe20,1934-01-07,2004-07-03
BiggRi20,1900-03-24,1971-11-24
WillTe21,1965-10-14,
CampLa20,1976-08-29,
BeutTo20,1946-09-29,
WashRo20,1963-04-02,
CrisSh20,1976-01-11,
HernMa20,1961-10-16,
RozzAu20,1932-11-02,2015-10-14
GuenGr00,1982-01-29,
BarrBo21,1935-11-18,
BailDa00,1988-01-26,
ThomJo04,1991-05-06,
ChomSt20,1944-02-27,1988-01-25
ShawSc20,1974-06-02,
DaviDe00,1989-01-11,
HampWi20,1975-03-07,
FilcFr20,1916-10-18,1994-06-20
HaynJo00,1984-08-28,
ThomHe00,1965-01-12,
GottBe00,1992-02-15,
DaviMi20,1956-04-15,
HamiWe20,1953-04-24,
MorrJi21,1962-12-24,
AndeZa01,1992-08-18,
BansAl20,1938-01-09,2003-08-19
LewiMa20,1937-08-28,2010-11-22
EdwaKa20,1979-12-26,
McGiKa20,1971-01-11,
PhenPe20,1974-11-14,
WhelCr00,1971-04-15,
YounWi21,1943-06-27,
MalaKe00,1986-06-06,
MatsAr20,1904-04-30,1987-05-28
McKeRe21,1963-02-08,
PloeKu20,1962-12-01,
luckhmic01,1958-03-31,
GunnRi20,1937-09-24,
VallEm20,1946-04-30,
BrowHa00,1924-05-08,1991-11-08
gowintob01,1975-03-30,
GalbSc00,1967-01-07,
EasoNi20,1980-05-29,
FishLe20,1979-07-02,
SimmWa20,1969-12-15,2002-08-23
PerrBr01,1981-03-22,
SmitJe02,1991-04-01,
AdamTo00,1950-03-19,
HansHa20,1892-09-03,1977-09-08
ReedJ.20,1982-02-11,
CapeWa00,1961-05-17,
ReedHe20,1948-01-15,
CornJa00,1989-06-04,
AndeHe20,1968-11-19,
JoseLe00,1942-07-29,
YounLo20,1963-07-18,
KennJi00,1952-07-30,
JenkJa00,1967-08-17,
FlowDi20,1927-08-13,2010-05-07
DoigSt20,1960-03-28,
HannTo20,1955-03-05,
HiggMi00,1987-12-07,
SmitDa24,1982-03-14,
PoweJe99,1987-07-19,
CompDi00,1940-04-16,
HastGe20,1905-09-21,1981-08-09
KingDe00,1993-07-02,
JeffTh20,1964-03-11,
BlacBa20,1965-03-07,
BlacHa20,1978-05-20,
WhalBe20,1926-10-14,2001-11-04
SmooRa20,1970-07-24,
BrewUn20,1894-11-21,1970-02-11
BighAd00,1988-10-16,
BoydGr21,1950-12-30,
MillBr02,1987-08-06,
